,entity,surface,qid,lSentenceOffset,rSentenceOffset,sentence_idx,lArticleOffset,rArticleOffset,id,article,newspaper,date,year,decade,agency,language,country,impresso_link
4925465,org.ent.pressagency.unk,. A. Z.,NIL,4727,4734,,4727,4734,4727:4734:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1841-07-07-a-i0002,NZZ,1841-07-07,1841,1840,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1841-07-07-a-i0002
5104126,pers.ind.articleauthor,M. GARNIER,NIL,7092,7102,,7092,7102,7092:7102:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,jdpl-1848-01-22-a-i0014,jdpl,1848-01-22,1848,1840,articleauthor,unknown,unknown,impresso-project.ch/app/article/jdpl-1848-01-22-a-i0014
4925563,org.ent.pressagency.unk,. Z,NIL,2204,2207,,2204,2207,2204:2207:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1841-08-30-a-i0002,NZZ,1841-08-30,1841,1840,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1841-08-30-a-i0002
4924905,org.ent.pressagency.unk,Z.,NIL,7707,7709,,7707,7709,7707:7709:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1841-03-08-a-i0002,NZZ,1841-03-08,1841,1840,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1841-03-08-a-i0002
5297580,org.ent.pressagency.unk,V.-H.,NIL,7974,7979,,7974,7979,7974:7979:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1849-10-28-a-i0007,luxwort,1849-10-28,1849,1840,unk,unknown,unknown,impresso-project.ch/app/article/luxwort-1849-10-28-a-i0007
4976149,org.ent.pressagency.unk,. Z,NIL,1209,1212,,1209,1212,1209:1212:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,NZZ-1857-03-08-a-i0003,NZZ,1857-03-08,1857,1850,unk,unknown,unknown,impresso-project.ch/app/article/NZZ-1857-03-08-a-i0003
5358928,org.ent.pressagency.unk,i d,NIL,2019,2022,,2019,2022,2019:2022:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxzeit1858-1859-01-29-a-i0024,luxzeit1858,1859-01-29,1859,1850,unk,unknown,unknown,impresso-project.ch/app/article/luxzeit1858-1859-01-29-a-i0024
5329227,org.ent.pressagency.unk,. f.,NIL,1810,1814,,1810,1814,1810:1814:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,luxwort-1859-12-11-a-i0004,luxwort,1859-12-11,1859,1850,unk,unknown,unknown,impresso-project.ch/app/article/luxwort-1859-12-11-a-i0004
4033723,pers.ind.articleauthor,de,NIL,1064,1066,,1064,1066,1064:1066:pers.ind.articleauthor:dbmdz_bert_base_historic_multilingual_de_and_fr,JDG-1858-08-24-a-i0013,JDG,1858-08-24,1858,1850,articleauthor,unknown,unknown,impresso-project.ch/app/article/JDG-1858-08-24-a-i0013
5389979,org.ent.pressagency.unk,T. Z.,NIL,1421,1426,,1421,1426,1421:1426:org.ent.pressagency.unk:dbmdz_bert_base_historic_multilingual_de_and_fr,waechtersauer-1858-12-08-a-i0012,waechtersauer,1858-12-08,1858,1850,unk,unknown,unknown,impresso-project.ch/app/article/waechtersauer-1858-12-08-a-i0012
